City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Juneau,US,57.22,light rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
179,Fairbanks,US,67.96,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
180,La Ronge,CA,77.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
181,Along,IN,74.35,overcast clouds,28.1667,94.7667,Hotel West
182,Vereshchagino,RU,64.15,overcast clouds,58.0789,54.6557,Scarlet Sails
183,Viedma,AR,49.28,broken clouds,-40.8135,-62.9967,Hotel Cristal
184,Lufilufi,WS,78.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
185,Karratha,AU,63.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
186,Mogadishu,SO,75.56,light rain,2.0371,45.3438,Hotel Juba
187,Isangel,VU,78.35,few clouds,-19.55,169.2667,Tanna Lodge
188,Solnechnyy,RU,68.23,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
189,Kalabo,ZM,59.47,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
190,Te Anau,NZ,30.15,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
191,Ciudad Bolivar,VE,85.55,overcast clouds,8.1222,-63.5497,Hotel Edi
192,Leningradskiy,RU,37.89,overcast clouds,69.3833,178.4167,Gostinitsa
193,Nago,JP,83.25,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
194,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
195,Saint-Philippe,RE,64.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
196,Xinzhou,CN,63.72,broken clouds,38.4092,112.7333,Shell Hotel - Xinzhou
197,Marsh Harbour,BS,84.33,moderate rain,26.5412,-77.0636,Abaco Beach Resort
198,Ballarat,AU,40.12,overcast clouds,-37.5662,143.8496,Quest Ballarat
201,Beitbridge,ZW,66.61,clear sky,-22.2167,30.0,Beitbridge Express Hotel
202,Kavos,GR,77.97,clear sky,38.8268,22.8322,Kavos Villa
