City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Portland,US,45.5234,-122.6762,80.15,51,75,5.99,broken clouds
137,Namatanai,PG,-3.6667,152.4333,79.43,77,50,6.26,scattered clouds
138,Tasiilaq,GL,65.6145,-37.6368,40.06,78,42,2.15,scattered clouds
139,Sumbe,AO,-11.2061,13.8437,68.0,90,4,6.2,clear sky
140,Talnakh,RU,69.4865,88.3972,47.21,61,26,6.8,scattered clouds
141,Mundo Nuevo,MX,18.7,-95.5,85.73,65,52,9.55,broken clouds
142,Pevek,RU,69.7008,170.3133,32.85,86,93,3.44,overcast clouds
143,Hovd,MN,48.0056,91.6419,57.54,53,7,4.61,moderate rain
144,Rafaela,AR,-31.2503,-61.4867,64.0,53,9,5.01,clear sky
145,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,10.36,broken clouds
146,Dudinka,RU,69.4058,86.1778,47.62,66,37,7.9,scattered clouds
147,Hirara,JP,24.8,125.2833,84.61,73,10,11.48,clear sky
148,Kloulklubed,PW,7.0419,134.2556,83.68,69,75,4.83,broken clouds
149,Hami,CN,42.8,93.45,81.54,22,100,12.08,overcast clouds
150,Sumenep,ID,-7.0167,113.8667,78.3,84,45,4.21,scattered clouds
151,Airai,TL,-8.9266,125.4092,54.93,91,82,3.71,broken clouds
152,Dvinskoy,RU,62.1535,45.1175,61.72,90,50,4.41,light rain
153,Bosaso,SO,11.2842,49.1816,89.2,39,47,27.83,light rain
154,Geraldton,AU,-28.7667,114.6,46.81,87,23,3.44,few clouds
155,Kaitangata,NZ,-46.2817,169.8464,38.71,84,63,6.31,broken clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,97.61,59,14,12.8,few clouds
157,Clyde River,CA,70.4692,-68.5914,48.43,71,100,5.75,overcast clouds
158,San Cristobal,VE,7.7669,-72.225,80.78,56,85,6.22,overcast clouds
159,Hambantota,LK,6.1241,81.1185,80.26,79,100,20.31,moderate rain
160,Okha,RU,53.5739,142.9478,67.24,84,100,11.88,overcast clouds
161,Quelimane,MZ,-17.8786,36.8883,67.95,94,0,3.44,clear sky
162,Kavaratti,IN,10.5669,72.642,81.27,80,100,20.87,overcast clouds
163,Jiayuguan,CN,39.8167,98.3,70.05,47,39,2.98,scattered clouds
164,Anadyr,RU,64.75,177.4833,48.7,93,75,13.42,broken clouds
165,Chabahar,IR,25.2919,60.643,84.2,82,100,10.69,light rain
166,Kensington,AU,-33.9167,151.2167,51.13,83,75,9.22,light rain
167,Cayenne,GF,4.9333,-52.3333,83.08,1,47,1.01,scattered clouds
168,Tilichiki,RU,60.4667,166.1,60.28,57,13,8.63,few clouds
169,Korla,CN,41.7597,86.1469,76.82,27,25,10.02,scattered clouds
170,Hithadhoo,MV,-0.6,73.0833,82.36,71,100,4.03,overcast clouds
171,Phan Thiet,VN,10.9333,108.1,76.82,89,100,10.56,light rain
172,Pierre,US,44.3683,-100.351,92.86,39,0,23.02,clear sky
173,Palu,ID,-0.8917,119.8707,77.04,89,100,2.06,overcast clouds
174,Vadodara,IN,22.3,73.2,78.67,88,100,12.97,moderate rain
175,Bredasdorp,ZA,-34.5322,20.0403,49.5,85,57,6.58,broken clouds
176,Castro,BR,-24.7911,-50.0119,59.63,74,6,3.47,clear sky
177,Juneau,US,58.3019,-134.4197,57.22,92,100,13.8,light rain
178,Umm Kaddadah,SD,13.6017,26.6876,87.87,44,70,15.48,broken clouds
179,Fairbanks,US,64.8378,-147.7164,67.96,85,100,0.0,smoke
180,La Ronge,CA,55.1001,-105.2842,77.25,27,75,16.11,broken clouds
181,Along,IN,28.1667,94.7667,74.35,98,100,1.59,overcast clouds
182,Vereshchagino,RU,58.0789,54.6557,64.15,81,85,2.1,overcast clouds
183,Viedma,AR,-40.8135,-62.9967,49.28,66,66,19.26,broken clouds
184,Lufilufi,WS,-13.8745,-171.5986,78.58,80,26,17.47,light rain
185,Karratha,AU,-20.7377,116.8463,63.93,25,0,5.86,clear sky
186,Mogadishu,SO,2.0371,45.3438,75.56,83,50,18.81,light rain
187,Isangel,VU,-19.55,169.2667,78.35,83,11,10.04,few clouds
188,Solnechnyy,RU,50.7214,136.6319,68.23,74,26,1.36,scattered clouds
189,Kalabo,ZM,-14.97,22.6814,59.47,48,1,5.55,clear sky
190,Te Anau,NZ,-45.4167,167.7167,30.15,92,99,0.6,overcast clouds
191,Ciudad Bolivar,VE,8.1222,-63.5497,85.55,65,86,11.36,overcast clouds
192,Leningradskiy,RU,69.3833,178.4167,37.89,86,100,12.59,overcast clouds
193,Nago,JP,26.5881,127.9761,83.25,89,7,7.49,clear sky
194,Natal,BR,-5.795,-35.2094,80.82,74,40,13.8,scattered clouds
195,Saint-Philippe,RE,-21.3585,55.7679,64.22,76,37,13.6,scattered clouds
196,Xinzhou,CN,38.4092,112.7333,63.72,90,69,1.1,broken clouds
197,Marsh Harbour,BS,26.5412,-77.0636,84.33,69,45,6.53,moderate rain
198,Ballarat,AU,-37.5662,143.8496,40.12,85,100,8.79,overcast clouds
199,Romanovo,RU,52.6182,81.2271,62.6,76,6,7.78,clear sky
200,Twentynine Palms,US,34.1356,-116.0542,105.13,9,7,10.04,clear sky
201,Beitbridge,ZW,-22.2167,30.0,66.61,44,1,6.17,clear sky
